epoch,train_loss,train_err,test_err
0,2.093895435333252,0.74278,0.7483
1,1.962175726890564,0.71918,0.7208
2,1.9092811346054077,0.7064,0.7202
3,2.1362197399139404,0.6904,0.6866
4,1.8585973978042603,0.68978,0.7043
5,1.7664915323257446,0.6761,0.6849
6,1.7715787887573242,0.6796,0.6927
7,1.7832187414169312,0.67446,0.692
8,1.6087757349014282,0.66214,0.6717
9,1.8468425273895264,0.66072,0.6804
10,1.6586005687713623,0.65084,0.6689
11,1.7662941217422485,0.65332,0.6645
12,1.7057605981826782,0.65868,0.6716
13,1.6461000442504883,0.64232,0.6695
14,1.8398628234863281,0.65244,0.6593
15,1.9088166952133179,0.63434,0.6521
16,1.7276113033294678,0.6273,0.6431
17,1.566428780555725,0.6271,0.6556
18,1.644754409790039,0.6072,0.6334
19,1.7135330438613892,0.61824,0.6545
20,1.527563214302063,0.61452,0.6451
21,1.6357628107070923,0.59526,0.6156
22,1.5892770290374756,0.60594,0.6336
23,1.6885125637054443,0.59844,0.6221
24,1.6338714361190796,0.60114,0.6359
25,1.7710050344467163,0.5942,0.63
26,1.717515230178833,0.60466,0.6337
27,1.5899450778961182,0.60698,0.6114
28,1.4089056253433228,0.59484,0.6341
29,1.8640321493148804,0.59596,0.6272
30,1.7749961614608765,0.59208,0.6181
31,1.5707457065582275,0.58602,0.6185
32,1.9296127557754517,0.60308,0.637
33,1.7465862035751343,0.5806,0.6002
34,1.559140920639038,0.59532,0.6062
35,1.6448609828948975,0.58982,0.6185
36,1.5699007511138916,0.58412,0.6082
37,1.6819705963134766,0.58704,0.6177
38,1.5664259195327759,0.58524,0.599
39,1.8025245666503906,0.58626,0.6227
40,1.5835282802581787,0.57452,0.601
41,1.6498301029205322,0.58922,0.6203
42,1.6578572988510132,0.57966,0.6253
43,1.4195865392684937,0.57206,0.6036
44,1.6456658840179443,0.57828,0.6113
45,1.6500816345214844,0.5885,0.6151
46,1.7413113117218018,0.56924,0.6008
47,1.5666290521621704,0.57386,0.5998
48,1.6907438039779663,0.57874,0.6023
49,1.4838775396347046,0.57574,0.6066
50,1.4712717533111572,0.5595,0.5937
51,1.5706640481948853,0.56434,0.5989
52,1.505072832107544,0.57784,0.5925
53,1.4655706882476807,0.57958,0.6035
54,1.5887895822525024,0.58116,0.5809
55,1.4773908853530884,0.5764,0.6101
56,1.5742419958114624,0.56806,0.6132
57,1.7469251155853271,0.56146,0.5933
58,1.4725706577301025,0.57072,0.6167
59,1.5439201593399048,0.58302,0.6071
60,1.558139443397522,0.5809,0.605
61,1.6990973949432373,0.57352,0.611
62,1.453904390335083,0.56746,0.5871
63,1.5744670629501343,0.56482,0.5889
64,1.6664739847183228,0.57974,0.6084
65,1.4734532833099365,0.57884,0.6077
66,1.4589375257492065,0.56384,0.5914
67,1.5973283052444458,0.56096,0.5878
68,1.5187280178070068,0.56638,0.5861
69,1.7376441955566406,0.57426,0.5954
70,1.8548580408096313,0.5743,0.6158
71,1.5724152326583862,0.56752,0.5857
72,1.7121301889419556,0.57066,0.6161
73,1.6116355657577515,0.58926,0.5905
74,1.4323604106903076,0.56604,0.5868
75,1.5218441486358643,0.57066,0.589
76,1.6513656377792358,0.58318,0.6002
77,1.531794786453247,0.55466,0.5936
78,1.6718769073486328,0.5505,0.5834
79,1.4864675998687744,0.57572,0.5986
80,1.6811870336532593,0.55364,0.5799
81,1.585632562637329,0.57036,0.6125
82,1.5355513095855713,0.54022,0.5796
83,1.5965496301651,0.54,0.5748
84,1.5490543842315674,0.5381,0.5781
85,1.6668097972869873,0.54072,0.5751
86,1.7053245306015015,0.54218,0.579
87,1.5719740390777588,0.54492,0.5753
88,1.5690370798110962,0.53886,0.5733
89,1.4802080392837524,0.53816,0.5735
