epoch,train_loss,train_err,test_err
0,1.8267139196395874,0.71934,0.7015
1,1.8174638748168945,0.66062,0.6484
2,1.7620408535003662,0.5797,0.5584
3,1.4497097730636597,0.5517,0.5352
4,1.1945010423660278,0.56354,0.5537
5,1.2198221683502197,0.50462,0.4916
6,0.821696400642395,0.44964,0.4393
7,0.9266430735588074,0.37374,0.3712
8,0.8781587481498718,0.36482,0.3622
9,0.8421063423156738,0.2948,0.301
10,0.7399892807006836,0.30904,0.3007
11,0.7776931524276733,0.27634,0.2799
12,0.7303474545478821,0.2572,0.2617
13,0.7803863286972046,0.25172,0.2557
14,0.5985994338989258,0.27896,0.2698
15,0.6979464292526245,0.305,0.3138
16,0.680229663848877,0.28966,0.2967
17,0.7573353052139282,0.28006,0.2845
18,0.6641496419906616,0.23324,0.2392
19,0.6570523977279663,0.24502,0.2503
20,0.4539637565612793,0.21528,0.2303
21,0.5315438508987427,0.25042,0.2569
22,0.2787841856479645,0.262,0.2715
23,0.6118083000183105,0.20022,0.2228
24,0.5086879730224609,0.256,0.2535
25,0.7326222658157349,0.17222,0.1859
26,0.39297908544540405,0.274,0.2751
27,0.345295786857605,0.2628,0.276
28,0.42033594846725464,0.19154,0.2105
29,0.7963731288909912,0.2612,0.2695
30,0.4833316206932068,0.19438,0.2082
31,0.5092467069625854,0.22564,0.2491
32,0.4939063489437103,0.18924,0.204
33,0.6063262820243835,0.1777,0.1999
34,0.415201336145401,0.16478,0.1866
35,0.4838801324367523,0.23496,0.2539
36,0.45117640495300293,0.15514,0.1758
37,0.392141729593277,0.23692,0.2498
38,0.5868953466415405,0.2181,0.2402
39,0.5300595760345459,0.20042,0.2199
40,0.6524363160133362,0.16522,0.1814
41,0.3103078007698059,0.2197,0.2358
42,0.4229225218296051,0.192,0.2136
43,0.47449398040771484,0.1763,0.2014
44,0.6569054126739502,0.1428,0.1697
45,0.5340213179588318,0.16746,0.1972
46,0.5189627408981323,0.223,0.2447
47,0.39853614568710327,0.16062,0.1844
48,0.4647625982761383,0.13912,0.1677
49,0.3867725133895874,0.14934,0.1769
50,0.4990885257720947,0.17524,0.1996
51,0.5227876901626587,0.2674,0.2836
52,0.274158239364624,0.17264,0.1975
53,0.3911134898662567,0.1995,0.2237
54,0.3336017429828644,0.16276,0.1887
55,0.5594812631607056,0.18142,0.2045
56,0.6084484457969666,0.26968,0.302
57,0.5924080610275269,0.16282,0.195
58,0.5872277617454529,0.156,0.1811
59,0.4565189480781555,0.15584,0.1851
60,0.41765284538269043,0.29906,0.3174
61,0.4668428301811218,0.1406,0.1757
62,0.42935147881507874,0.16396,0.1905
63,0.6912750005722046,0.17552,0.2034
64,0.3358529210090637,0.20486,0.2233
65,0.41554561257362366,0.16134,0.1888
66,0.4854319095611572,0.18392,0.2162
67,0.34426817297935486,0.25698,0.2846
68,0.40234532952308655,0.1681,0.1942
69,0.3000059425830841,0.15846,0.1891
70,0.2631162106990814,0.14288,0.1765
71,0.2906325161457062,0.14322,0.1761
72,0.4995662271976471,0.128,0.1559
73,0.3292481005191803,0.15184,0.1788
74,0.4196089208126068,0.15022,0.1707
75,0.27847975492477417,0.13684,0.1575
76,0.318552702665329,0.14858,0.1732
77,0.38340234756469727,0.1677,0.1763
78,0.47882890701293945,0.15104,0.1819
79,0.3254101574420929,0.14924,0.1794
80,0.46903181076049805,0.14102,0.1733
81,0.204193115234375,0.2104,0.2365
82,0.2342238873243332,0.06258,0.1086
83,0.3101949989795685,0.05754,0.105
84,0.19458025693893433,0.0544,0.1052
85,0.19461274147033691,0.05104,0.1026
86,0.11735115945339203,0.04996,0.1027
87,0.09623782336711884,0.0513,0.108
88,0.1868378072977066,0.04586,0.1005
89,0.15958838164806366,0.0445,0.102
90,0.25858813524246216,0.04404,0.0994
91,0.16769537329673767,0.04436,0.104
92,0.1519990861415863,0.04022,0.0998
93,0.052861712872982025,0.04006,0.1009
94,0.09726893901824951,0.03864,0.1013
95,0.13602611422538757,0.04008,0.1014
96,0.09115133434534073,0.03714,0.1019
97,0.07508911937475204,0.03734,0.1033
98,0.10138237476348877,0.03668,0.1026
99,0.17441661655902863,0.0375,0.102
100,0.08144263923168182,0.03362,0.0999
101,0.14749523997306824,0.03352,0.1016
102,0.1571599543094635,0.03572,0.1037
103,0.2064705342054367,0.03226,0.1009
104,0.051363248378038406,0.03592,0.1063
105,0.18312761187553406,0.03194,0.1036
106,0.1941094696521759,0.03166,0.102
107,0.05893079191446304,0.02914,0.1032
108,0.13017408549785614,0.02966,0.1027
109,0.13762864470481873,0.03074,0.1051
110,0.06479446589946747,0.02648,0.1004
111,0.11094144731760025,0.0285,0.1045
112,0.07560072839260101,0.02788,0.1014
113,0.19415490329265594,0.02876,0.1025
114,0.017712611705064774,0.0265,0.1034
115,0.030466977506875992,0.02924,0.1078
116,0.12653516232967377,0.02552,0.1035
117,0.09229470789432526,0.02962,0.107
118,0.11888134479522705,0.02524,0.1025
119,0.1412094682455063,0.02958,0.1058
120,0.12346355617046356,0.02768,0.1064
121,0.11303810775279999,0.02916,0.1041
122,0.10339327156543732,0.02516,0.1087
123,0.04465930536389351,0.01712,0.1008
124,0.037069857120513916,0.01586,0.1001
125,0.05202631279826164,0.01546,0.1001
126,0.06270302087068558,0.01492,0.0983
127,0.11887772381305695,0.01512,0.0989
128,0.08849965035915375,0.01436,0.1012
129,0.05142958089709282,0.0139,0.0994
130,0.026771098375320435,0.01346,0.0992
131,0.0660514086484909,0.0139,0.0989
132,0.06890549510717392,0.0144,0.0998
133,0.034639377146959305,0.01326,0.0986
134,0.02683878317475319,0.01342,0.0983
135,0.05480612441897392,0.01282,0.099
136,0.07459001243114471,0.01288,0.0984
137,0.09297449886798859,0.01324,0.0983
138,0.018842976540327072,0.01242,0.0998
139,0.08149443566799164,0.01244,0.1002
140,0.10523190349340439,0.01214,0.0985
141,0.02575390599668026,0.01212,0.0986
142,0.07459334284067154,0.01266,0.0973
143,0.023720139637589455,0.01178,0.0992
144,0.04889794811606407,0.01178,0.0996
145,0.07361437380313873,0.01232,0.0999
146,0.054681964218616486,0.01138,0.0982
147,0.09772229939699173,0.01194,0.099
148,0.04256463795900345,0.0125,0.0988
149,0.10114581882953644,0.01188,0.0997
150,0.0162249356508255,0.01128,0.0983
151,0.07906701415777206,0.01118,0.0992
152,0.029964294284582138,0.01128,0.0979
153,0.07383294403553009,0.0113,0.0989
154,0.05725730583071709,0.01086,0.0982
155,0.09512892365455627,0.01116,0.0987
156,0.034435681998729706,0.01072,0.0981
157,0.02430124580860138,0.01092,0.1005
158,0.03644372522830963,0.01078,0.0998
159,0.012415963225066662,0.01074,0.0984
160,0.0880516842007637,0.01164,0.0985
161,0.01928587630391121,0.01078,0.0993
162,0.06273192167282104,0.01036,0.0974
163,0.024850115180015564,0.00996,0.0997
