epoch,train_loss,train_err,test_err
0,1.7402217388153076,0.69182,0.6811
1,1.3895434141159058,0.55994,0.5694
2,1.1528031826019287,0.4282,0.4198
3,1.0299351215362549,0.34096,0.3404
4,0.8914507031440735,0.31428,0.3201
5,0.7220571041107178,0.276,0.2837
6,0.6759084463119507,0.22544,0.2317
7,0.5228019952774048,0.20268,0.2141
8,0.5928887128829956,0.23362,0.2573
9,0.7139628529548645,0.1886,0.195
10,0.4867221415042877,0.20598,0.2229
11,0.4373362064361572,0.181,0.195
12,0.3460448384284973,0.18388,0.1997
13,0.29742640256881714,0.2038,0.2262
14,0.258648544549942,0.14694,0.1652
15,0.41614285111427307,0.18458,0.2095
16,0.35587042570114136,0.14908,0.1792
17,0.45824581384658813,0.17024,0.197
18,0.368463933467865,0.13352,0.1605
19,0.5393403172492981,0.13782,0.1726
20,0.3753051459789276,0.13346,0.1632
21,0.44539347290992737,0.14964,0.1863
22,0.4903249144554138,0.11842,0.1545
23,0.3848395049571991,0.14452,0.1825
24,0.3212760090827942,0.13428,0.172
25,0.33128851652145386,0.12548,0.1571
26,0.29582148790359497,0.12334,0.1555
27,0.34425437450408936,0.13128,0.167
28,0.33357545733451843,0.12998,0.1633
29,0.3894631266593933,0.12098,0.1517
30,0.4531310200691223,0.11826,0.1569
31,0.3002179265022278,0.10322,0.139
32,0.30231577157974243,0.1197,0.1558
33,0.18784941732883453,0.11552,0.1571
34,0.29432299733161926,0.11238,0.1618
35,0.17314766347408295,0.12928,0.165
36,0.4616909623146057,0.11022,0.1482
37,0.27331116795539856,0.11746,0.1582
38,0.2841537892818451,0.09934,0.1389
39,0.42692309617996216,0.10914,0.1499
40,0.2733348309993744,0.1098,0.15
41,0.19223704934120178,0.0917,0.1377
42,0.24768289923667908,0.1137,0.1586
43,0.16897964477539062,0.09198,0.1371
44,0.2634149491786957,0.0981,0.1355
45,0.23156790435314178,0.10858,0.151
46,0.3947273790836334,0.094,0.1393
47,0.11648361384868622,0.0844,0.1321
48,0.31533294916152954,0.11932,0.1525
49,0.30785322189331055,0.0876,0.1305
50,0.387382835149765,0.09206,0.1376
51,0.3900059163570404,0.08812,0.1362
52,0.18037334084510803,0.0799,0.1266
53,0.14766862988471985,0.1019,0.1358
54,0.3173968195915222,0.09806,0.1388
55,0.4218638837337494,0.09568,0.1383
56,0.26068323850631714,0.09334,0.1415
57,0.2141585350036621,0.10316,0.1468
58,0.14749258756637573,0.08576,0.1286
59,0.1609308421611786,0.0913,0.1377
60,0.16437673568725586,0.09046,0.137
61,0.12631063163280487,0.08452,0.1382
62,0.17854079604148865,0.08436,0.1344
63,0.1885095089673996,0.10808,0.1596
64,0.22954311966896057,0.08034,0.1355
65,0.24836571514606476,0.08634,0.1315
66,0.3880874514579773,0.07098,0.1209
67,0.15981467068195343,0.13898,0.1908
68,0.15454646944999695,0.0835,0.1302
69,0.1500869244337082,0.09596,0.1455
70,0.14314529299736023,0.07722,0.1215
71,0.17951105535030365,0.08392,0.1354
72,0.050658710300922394,0.07834,0.1235
73,0.3023851215839386,0.08346,0.1292
74,0.27980804443359375,0.1043,0.1449
75,0.3008267879486084,0.08172,0.1343
76,0.20964865386486053,0.0922,0.1414
77,0.20236177742481232,0.08312,0.133
78,0.3917270600795746,0.13178,0.1848
79,0.15170511603355408,0.09166,0.137
80,0.11669131368398666,0.06718,0.1175
81,0.41217756271362305,0.06844,0.118
82,0.06268336623907089,0.02484,0.0839
83,0.0523836724460125,0.02144,0.0834
84,0.04399421811103821,0.01822,0.0811
85,0.14562296867370605,0.01634,0.0803
86,0.044060878455638885,0.0143,0.0802
87,0.05131760984659195,0.01408,0.0806
88,0.060256075114011765,0.01198,0.078
89,0.03196251019835472,0.01178,0.0814
90,0.01137808058410883,0.01084,0.0821
91,0.0654827132821083,0.00996,0.0802
92,0.018526148051023483,0.00946,0.0788
93,0.05322517082095146,0.00984,0.0809
94,0.008221118710935116,0.00872,0.0804
95,0.021949736401438713,0.00776,0.0802
96,0.01869337633252144,0.0076,0.081
97,0.03771094232797623,0.00714,0.0786
98,0.046442609280347824,0.00582,0.0802
99,0.031688179820775986,0.00584,0.0797
100,0.00727775227278471,0.006,0.0796
101,0.04237990826368332,0.00686,0.0824
102,0.010963509790599346,0.00522,0.0829
103,0.037886444479227066,0.00548,0.0792
104,0.015834307298064232,0.00444,0.0803
105,0.03896840661764145,0.00436,0.0821
106,0.028435418382287025,0.00378,0.077
107,0.05574622005224228,0.00532,0.0783
108,0.06640512496232986,0.00554,0.08
109,0.04590163379907608,0.00402,0.0812
110,0.03871942684054375,0.00356,0.0799
111,0.012318767607212067,0.00374,0.0791
112,0.005478074308484793,0.00408,0.0783
113,0.017148321494460106,0.00366,0.0799
114,0.053301386535167694,0.00356,0.0795
115,0.002336681354790926,0.00306,0.0763
116,0.028671283274888992,0.00318,0.0794
117,0.0076255216263234615,0.00368,0.0765
118,0.030317047610878944,0.00336,0.0775
119,0.003402621252462268,0.00342,0.0802
120,0.006002942565828562,0.0035,0.0816
121,0.03347225859761238,0.00302,0.0794
122,0.0076157585717737675,0.0027,0.0789
123,0.023485898971557617,0.00188,0.0777
124,0.017809201031923294,0.002,0.0776
125,0.0017346773529425263,0.00182,0.0773
